DEV_KEY,en,EN-UK,DE,PL,PT(BR),ES(MX),ES-ES,ID,SE,RU,FR,IT
main_tab_radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Радар,Radar,
main_tab_settings,Settings,Settings,Einstellungen,Ustawienia,Configurações,Ajustes,Ajustes,Pengaturan,Inställningar,Настройки,Paramètres,
top_bar_no_internet,No Internet,No Internet,Kein Internet,Brak internetu,Sem internet,Sin internet,Sin internet,Tak Ada Internet,Inget internet,Нет подключения к интернету,Pas d'Internet,
top_bar_searching_location,Searching for location,Searching for location,Suche nach Standort,Szukaj lokalizacji,Buscando localização,Buscando ubicación,Buscando ubicación,Mencari lokasi,Söker efter plats,Поиск местоположения,Recherche l'emplacement,
tab_bar_no_location,Location is unavailable,Location is unavailable,Kein Standort,Brak lokalizacji,Sem localização,Falta la ubicación,Sin poder ubicar,Lokasi tak tersedia,Platsen är inte tillgänglig,Местоположение недоступно,L'emplacement n'est pas disponible,
tab_bar_enable_location,Enable location,Enable location,Aktivieren Sie,Włącz lokalizację,Habilitar localização,Activar ubicación,Habilitar ubicación,Aktifkan lokasi,Aktivera plats,Включить доступ к геопозиции,Autoriser la localisation,
tab_bar_last_update,Last update: ,Last update: ,Letzte Aktualisierung:,Ostatnia aktualizacja:,Última atualização:,Última actualización:,Última actualización:,Pembaruan terakhir:,Senaste uppdatering:,Последнее обновление:,Dernière mise à jour :,
nowcast_no_location_screen_title,No location,No location,Kein Standort,Brak lokalizacji,Sem localização,Falta la ubicación,Sin poder ubicar,Tak ada lokasi,Ingen plats,Нет геопозиции,Pas d'emplacement,
nowcast_no_location_screen_description,"Check your location permission 
for the app to get the forecast 
for your location.","Check your location permission 
for the app to get the forecast 
for your location.","Überprüfen Sie die Standortberechtigung für diese App, um eine Vorhersage für Ihren Standort zu erhalten.","Sprawdź zezwolenie na dostęp dla aplikacji, żeby otrzymać prognozę pogody dla Twojej lokalizacji.",Verifique a permissão de localização do app para obter a previsão para sua localização.,Revisa el acceso a tu ubicación para que la aplicación obtenga el pronóstico para la misma.,Verifique el permiso de su ubicación para que la aplicación obtenga el pronóstico de su ubicación.,Periksa izin lokasi Anda untuk aplikasi guna menerima prakiraan untuk lokasi Anda.,Kontrollera din platsbehörighet för att appen ska kunna hämta prognosen för din plats.,"Проверьте, разрешен ли приложению доступ к геопозиции, чтобы получить прогноз для вашего местоположения",Vérifiez les autorisations de localisation pour permettre à l'application d'obtenir les prévisionsde votre emplacement.,
nowcast_no_location_screen_go_to_settings,Go to settings,Go to settings,Zu den Einstellungen,Przejdź do ustawień,Ir para configurações,Ir a ajustes,Ir a ajustes,Pergi ke pengaturan,Gå till inställningar,Перейти к настройкам,Aller aux paramètres,
nowcast_no_internet_screen_title,No connection,No connection,Keine Verbindung,Brak połączenia,Sem conexão,Sin conexión,Sin conexión,Tidak ada sambungan,Ingen anslutning,Нет подключения,Pas de connexion,
nowcast_no_internet_screen_description,"Connection has been lost. Check your Internet settings and tap the ""Reload"" button","Connection has been lost. Check your Internet settings and tap the ""Reload"" button",Verbindung unterbrochen. Überprüfen Sie Ihre Internetverbindung und tippen Sie auf die „Aktualisieren“-Schaltfläche,Utracono połączenie. Sprawdź ustawienia Internetu i stuknij przycisk Przeładuj.,"A conexão foi perdida. Verifique as configurações da sua internet e toque no botão ""Atualizar""","Se ha perdido la conexión. Revisa tus ajustes de internet y toca el botón ""Volver a cargar""","Se ha perdido la conexión. Verifique su configuración de Internet y pulse el botón ""Recargar""","Sambungan terputus. Periksa pengaturan internet Anda dan ketuk tombol ""Muat Ulang""","Anslutningen har gått förlorad. Kontrollera dina internetinställningar och tryck på knappen ""Ladda om""",Подключение потеряно. Проверьте настройки интернета и нажмите кнопку перезагрузки.,La connexion a été perdue. Vérifiez vos paramètres Internet et appuyez sur le bouton « Actualiser »,
nowcast_no_internet_screen_reload,Reload,Reload,Aktualisieren,Przeładuj,Atualizar,Volver a cargar,Recargar,Muat Ulang,Ladda om,Перезагрузить,Actualiser,
nowcast_todays_forecast,Today's events forecast,Today's events forecast,Heutige Ereignisvorhersage,Dzisiejsza prognoza pogody,Previsão de hoje,Eventos climáticos para hoy,Pronóstico de eventos de hoy,,,,,
nowcast_rain_intensity_light,Light,Light,Leicht,Lekkie,Leve,Leve,Luz,Ringan,Lätt,Слабый,Légère,
nowcast_rain_intensity_moderate,Moderate,Moderate,Mäßig,Umiarkowane,Moderada,Moderada,Moderado,Sedang,Måttligt,Средний,Modérée,
nowcast_rain_intensity_heavy,Heavy,Heavy,Stark,Duże,Forte,Fuerte,Copioso,Deras,Kraftigt,Сильный,Forte,
nowcast_rain_intensity_extremely_heavy,Extremely heavy,Extremely heavy,Sehr stark,Bardzo duże,Extremamente forte,Muy fuerte,Extremadamente copioso,Sangat deras,Extremt kraftigt,Очень сильный,Très forte,
nowcast_raining_right_now,It's raining right now,It's raining right now,Es regnet jetzt gerade,Teraz pada deszcz,Está chovendo agora,Está lloviendo en este momento,Está lloviendo ahora mismo,Sekarang sedang hujan,Det regnar just nu,Сейчас идет дождь,Il pleut en ce moment,
nowcast_hooray,Hooray!,Hooray!,Hurra!,Hurra!,Viva!,¡Hurra!,¡Hurra!,Hore!,Hurra!,Ура!,Hourra !,
radar_its_rain,It's raining,It's raining,Es regnet,Pada deszcz,Está chovendo,Está lloviendo,Está lloviendo,Sedang hujan,Det regnar,Идет дождь,Il pleut,
radar_no_rain,No rain,No rain,Kein Regen,Nie pada deszcz,Sem chuva,No llueve,No llueve,Tidak ada hujan,Inget regn,Нет дождя,Pas de pluie,
radar_thank_you,Thank you!,Thank you!,Vielen Dank!,Dziękujemy!,Obrigado!,¡Gracias!,¡Gracias!,Terima kasih!,Tack så mycket!,Спасибо!,Merci !,
radar_player_now,Now,Now,Jetzt,Teraz,Agora,Ahora,Ahora,Sekarang,Nu,Сейчас,Maintenant,
settings_tab_title,Settings,Settings,Einstellungen,Ustawienia,Configurações,Ajustes,Ajustes,Pengaturan,Inställningar,Настройки,Paramètres,
settings_feed_section_title,Preferences,Preferences,Einstellungen,Preferencje,Preferências,Preferencias,Preferencias,Preferensi,Preferenser,Настройки,Préférences,
settings_permissions_section_title,Permissions,Permissions,Berechtigungen,Uprawnienia,Permissões,Permisos,Permisos,Perizinan,Behörigheter,Права доступа,Autorisations,
settings_info_section_title,Legal,Legal,Rechtliches,Prawne,Legal,Legal,Legal,Legal,Juridiskt,Правовые документы,Mentions légales,
settings_time,Time format,Time format,Zeitformat,Format godziny,Formato de hora,Formato de hora,Tiempo,Format waktu,Tidsformat,Формат времени,Format de l'heure,
settings_time_12h,12h,12h,12 Std.,12-gdz.,12h,12h,12h,12j,12h,12ч,12 h,
settings_time_24h,24h,24h,24 Std.,24-gdz.,24h,24h,24h,24j,24h,24ч,24 h,
Powiadomienia,Location,Location,Standort,Lokalizacja,Localização,Ubicación,Ubicación,Lokasi,Plats,Геопозиция,Emplacement,
settings_on,On,On,Ein,Wł.,Ativado,Sí,Sí,Nyala,På,Включить,Activé,
settings_off,Off,Off,Aus,Wył.,Desativado,No,No,Mati,Av,Выключить,Désactivé,
settings_privacy_policy,Privacy policy,Privacy policy,Datenschutzerklärung,Polityka prywatności,Política de privacidade,Política de privacidad,Política de privacidad,Kebijakan privasi,Integritetspolicy,Политика конфиденциальности,Politique de confidentialité,
settings_terms_of_use,Terms of use,Terms of use,Nutzungsbedingungen,Regulamin,Termos de uso,Términos de uso,Términos de Uso,Syarat penggunaan,Användarvillkor,Условия использования,Conditions d'utilisation,
settings_contact_via_email,Contact us via email,Contact us via email,Kontaktieren Sie uns per E-Mail,Skontaktuj się z nami mailowo,Fale conosco por e-mail,Contáctanos por correo,Contáctenos,Hubungi kami lewat email,Kontakta oss via e-post,Свяжитесь с нами по элекстронной почте,Contactez-nous par e-mail,
settings_version,Version %@,Version %@,Version %@,Wersja %@,Versão %@,Versión %@,Versión %@,Versi %@,Version %@,Версия %@,Version %@,
,,,,,,,,,,,,
alert_cancel,Cancel,Cancel,Abbrechen,Anuluj,Cancelar,Cancelar,Cancelar,Batal,Avbryt,Отменить,Annuler,
alert_allow_in_settings,Allow in Settings,Allow in Settings,Erlauben in Einstellungen,Zezwalaj w ustawieniach,Permitir em ajustes,Permitir en los configuración,Permitir en los ajustes,Izinkan dalam Pengaturan,Tillåt i Inställningar,Разрешить в настройках,Autoriser dans les paramètres,
nowcast_couldnt_find_anything,Couldn't find anything,Couldn't find anything,Wir konnten gar nichts finden,Nie można nic znaleźć,Não foi possível encontrar nada,No pude encontrar nada,No pude encontrar nada,Tak dapat menemukan apa pun,Kunde inte hitta något,Не удалось ничего найти,Aucun résultat,
alert_contact_us,Contact us,Contact us,Kontaktieren Sie uns,Skontaktuj się z nami,Fale conosco ,Contáctenos,Contáctenos,Hubungi kami,Kontakta oss,Свяжитесь с нами,Contactez-nous,
alert_ok,Ok,Ok,OK,Ok,Ok,OK,OK,Oke,Ok,OK,D'accord,
alert_contact_us_via_email,Contact us via email: support@rainbow.ai,Contact us via email: support@rainbow.ai,Kontaktieren Sie uns per E-Mail: support@rainbow.ai,Skontaktuj się z nami mailowo: support@rainbow.ai,Fale conosco por e-mail: support@rainbow.ai,Contáctanos por correo: support@rainbow.ai,Contáctenos: support@rainbow.ai,Hubungi kami lewat email: support@rainbow.ai,Kontakta oss via e-post: support@rainbow.ai,Свяжитесь с нами по элекстронной почте: support@rainbow.ai,Contactez-nous par e-mail : support@rainbow.ai,
alert_copy_email,Copy Email,Copy Email,E-Mail kopieren,Kopiuj adres e-mail,Copiar Email,Copiar correo,Copiar correo electrónico,Salin Email,Kopiera e-post,Копировать электронный адрес,Copier l'e-mail,
app_very_soon,very soon,very soon,sehr bald,bardzo niedługo,muito em breve,muy pronto,muy pronto,sebentar lagi,mycket snart,очень скоро,très bientôt,
app_in_hours,in %@ hours,in %@ hours,in %@ Std.,za %@ godzin(y),em %@ horas,en %@ horas,en %@ horas,dalam %@ jam,om %@ timmar,через %@ часа/часов,dans %@ heures,
app_in_hour,in %@ hour,in %@ hour,in %@ Std.,za %@ godzinę,em %@ hora,en %@ hora,en %@ hora,dalam %@ jam,om %@ timme,через %@ час,dans %@ heure,
app_in_minutes,in %@ minutes,in %@ minutes,in %@ Min,za %@ minut(y),em %@ minutos,en %@ minutos,en %@ minutos,dalam %@ menit,om %@ minuter,через %@ минут(ы),dans %@ minutes,
app_in_minute,in %@ minute,in %@ minute,in %@ Min,za %@ minutę,em %@ minuto,en %@ minuto,en %@ minuto,dalam %@ menit,om %@ minut,через %@ минуту,dans %@ minute,
app_next_minutes,for the next %@ minutes,for the next %@ minutes,die nächsten %@ Min,najbliższe %@ minut(y),nos próximos %@ min,los próximos %@ min,próximos %@ min,Untuk %@ menit mendatang,de närmaste %@ minuterna,ближайшие %@ минут(ы),pendant les prochaines %@ minutes,
app_next_minute,for the next %@ minute,for the next %@ minute,die nächste %@ Min,najbliższą %@ minutę,no próximo %@ min,el próximo %@ min,próximo %@ min,Untuk %@ menit mendatang,den närmaste %@ minuten,ближайшую %@ минуту,pendant la prochaine %@ minute,
app_next_hours,for the next %@ hours,for the next %@ hours,die nächsten %@ Std.,najbliższe %@ godzin(y),nas próximas %@ h,las próximas %@ h,próximas %@ h,Untuk %@ jam mendatang,de närmaste %@ timmarna,ближайшие %@ часа/часов,pendant les prochaines %@ heures,
app_next_hour,for the next %@ hour,for the next %@ hour,die nächste %@ Std.,najbliższą %@ godzinę,na próxima %@ h,la próxima %@ h,próxima %@ h,Untuk %@ jam mendatang,den närmaste %@ timmen,ближайший %@ час,pendant la prochaine %@ heure,
app_rain_starts,Rain starts,Rain starts,Regen beginnt,Zaczyna padać,A chuva começa,La lluvia iniciará,Comienza a llover,Hujan dimulai,Det börjar regna,Дождь начнется,Il a commencé à pleuvoir,
app_rain_ends,Rain ends,Rain ends,Regen endet,Kończy padać,A chuva termina,La lluvia terminará,Termina de llover,Hujan berakhir,Det slutar regna,Дождь закончится,La pluie a cessé,
app_no_rain_for,No rain,No rain,Kein Regen für,Brak deszczu przez,Sem chuva,Sin lluvia por,Sin lluvia para,Tak ada hujan,Inget regn,Нет дождя,Pas de pluie,
app_raining_right_now_top,It's raining,It's raining,Es regne,Teraz,Está chovendo ,Está lloviendo ,Está lloviendo,Sedang hujan,Det regnar,Идет дождь,Il pleut,
app_raining_right_now_bottom,right now,right now,jetzt gerade,pada deszcz,agora,en este momento,ahora mismo,sekarang,just nu,сейчас,tout de suite,
app_right_now,right now,right now,jetzt gerade,teraz,agora,en este momento,ahora mismo,sekarang,just nu,сейчас,tout de suite,
app_hours_ago,%@ hours ago,%@ hours ago,vor %@ Stunden,%@ godzin(y) temu,%@ horas atrás,hace %@ horas,hace %@ horas,%@ jam yang lalu,%@ timmar sedan,%@ часа/часов назад,il y a %@ heures,
,%@ hour ago,%@ hour ago,vor %@ Stunde,%@ godzinę temu,%@ hora atrás,hace %@ hora,hace %@ hora,%@ jam yang lalu,%@ timme sedan,%@ час назад,Il y a %@ heure,
app_minutes_ago,%@ minutes ago,%@ minutes ago,vor %@ Minuten,%@ minut(y) temu,%@ minutos atrás,hace %@ minutos,hace %@ minutos,%@ menit yang lalu,%@ minuter sedan,%@ минут(ы) назад,il y a %@ minutes,
,1 minute ago,1 minute ago,vor 1 Minute,1 minutę temu,1 minuto atrás,hace 1 minuto,hace 1 minuto,1 menit yang lalu,1 minut sedan,1 минуту назад,il y a 1 minute,
app_days_ago,%@ days ago,%@ days ago,vor %@ Tagen,%@ dni temu,%@ días atrás,hace %@ días,hace %@ días,%@ hari yang lalu,%@ dagar sedan,%@ дня/дней назад,il y a %@ jours,
,1 day ago,1 day ago,vor 1 Tag,1 dzień temu,1 día atrás,hace 1 día,hace 1 día,1 hari yang lalu,1 dag sedan,1 день назад,il y a 1 jour,
app_bug_fixes_stability,Bug fixes and stability improvements,Bug fixes and stability improvements,Fehlerkorrekturen und Stabilitätsverbesserungen,Poprawki błędów i ulepszenia stabilności,Correções de bug e aprimoramentos de estabilidade,Mejoras de estabilidad y correcciones de errores,Correcciones de errores y mejoras de estabilidad,,,,,
nowcast_hurricane_tracker,Hurricane tracker,Hurricane tracker,Orkan-Tracker,Monitor huraganu,Rastreador de furacões,Rastreador de huracanes,Rastreador de huracanes,Pelacak topan,Orkanspårare,Трекер ураганов,Suivi des ouragans,
nowcast_approaching_in_day,Approaches in %@ day,Approaches in %@ day,Nähert sich in %@ Tag,Zbliża się za %@ dzień,Aproximando-se em %@ dia,Acercándose en %@ día,Se acerca en %@ día,Mendekat dalam %@ hari,Närmar sig om %@ dag,,Arrive dans %@ jour,
nowcast_approaching_in_days,Approaches in %@ days,Approaches in %@ days,Nähert sich in %@ Tagen,Zbliża się za %@ dni,Aproximando-se em %@ dias,Acercándose en %@ días,Se acerca en %@ días,Mendekat dalam %@ hari,Närmar sig om %@ dagar,,Arrive dans %@ jours,
nowcast_approaching_in_hour,Approaches in %@ hour,Approaches in %@ hour,Nähert sich in %@ Std.,Zbliża się za %@ godzinę,Aproximando-se em %@ hora,Acercándose en %@ hora,Se acerca en %@ hora,Mendekat dalam %@ jam,Närmar sig om %@ timme,,Arrive dans %@ heure,
nowcast_approaching_in_hours,Approaches in %@ hours,Approaches in %@ hours,Nähert sich in %@ Std.,Zbliża się za %@ godzin(y),Aproximando-se em %@ horas,Acercándose en %@ horas,Se acerca en %@ horas,Mendekat dalam %@ jam,Närmar sig om %@ timmar,,Arrive dans %@ heures,
nowcast_show_on_map,Show on map,Show on map,Auf der Karte zeigen,Pokaż na mapie,Mostrar no mapa,Mostrar en el mapa,Mostrar en el mapa,Tampilkan pada peta,Visa på kartan,Показать на карте,Afficher sur la carte,
nowcast_hurricane,Hurricane,Hurricane,Orkan,Huragan,Furacão,Huracán,Huracán,Topan,Orkan,Ураган,Ouragan,
nowcast_hurricane_named,Hurricane %@,Hurricane %@,Orkan %@,Huragan %@,Furacão %@,Huracán %@,Huracán %@,Topan %@,Orkan %@,Ураган %@,Ouragan %@,
nowcast_tropical_depression,Tropical depression,Tropical depression,Tropensturm,Depresja tropikalna,Depressão tropical,Depresión tropical,Depresión tropical,Depresi tropis,Tropiskt lågtryck,Тропическая депрессия,Dépression tropicale,
nowcast_tropical_depression_named,Tropical depression %@,Tropical depression %@,Tropensturm %@,Depresja tropikalna %@,Depressão tropical %@,Depresión tropical %@,Depresión tropical %@,Depresi tropis %@,Tropiskt lågtryck %@,Тропическая депрессия %@,Dépression tropicale %@,
nowcast_invest,Invest,Invest,Untersuchungsgebiet,Invest,Formação,Invest,Ciclón potencial,Bibit,Undersökning,INVEST,Investir,
nowcast_invest_named,Invest %@,Invest %@,Untersuchungsgebiet %@,Invest %@,Formação da %@,Invest %@,Ciclón potencial %@,Bibit %@,Undersökning %@,INVEST %@,Investir %@,
nowcast_distance,Distance,Distance,Entfernung,Dystans,Distância,Distancia,Distancia,Jarak,Avstånd,Расстояние,Distance,
nowcast_wind_speed,Wind speed,Wind speed,Windgeschwindigkeit,Prędkość wiatru,Velocidade do vento,Velocidad del viento,Velocidad del viento,Kecepatan angin,Vindhastighet,Скорость ветра,Vitesse du vent,
nowcast_update_time,Updated,Updated,Aktualisiert,Zaktualizowano,Atualizado,Actualizado,Actualizado,Diperbarui,Uppdaterad,Обновлено,Mis à jour,
nowcast_near_you,near you,near you,nahe bei dir,blisko Ciebie,perto de você,cerca de ti,cerca de ti,dekat Anda,nära dig,рядом с вами,à proximité,
app_units_km,km,km,km,km,km,km,kilómetros,km,km,км,km,
app_units_miles,miles,miles,Meilen,mil(e),milhas,millas,millas,mil,miles,мили,miles,
app_units_mile,mile,mile,Meile,mila,milha,milla,milla,mil,mile,миля,mile,
app_units_kmh,km/h,km/h,km/h,km/h,km/h,km/h,km/h,km/j,km/h,км/ч,km/h,
app_units_ms,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/dtk,m/s,м/с,m/s,
app_units_mph,mph,mph,mph,mph,mi/h,mph,mi/h,mpj,mph,мили в час/миль в час,mi/h,
app_units_knots,knots,knots,Knoten,węzły,nós,nudos,nudos,knot,knop,узлы,nœuds,
app_units_knot,knot,knot,Knoten,węzeł,nó,nudo,nudo,knot,knop,узел,nœud,
app_mile_away,%@ mile away,%@ mile away,%@ Meile entfernt,%@ mila od,A %@ milha,A %@ milla,A %@ milla,%@ mil jauhnya,%@ mile bort,в %@ миле,à %@ mile,
app_miles_away,%@ miles away,%@ miles away,%@ Meilen entfernt,%@ mil(e) od,A %@ milhas,A %@ millas,в %@ милях,%@ mil jauhnya,%@ miles bort,в %@ милях,à %@ miles,
app_km_away,%@ km away,%@ km away,%@ km entfernt,%@ km od,A %@ km,A %@ km,A %@ km,%@ km jauhnya,%@ km bort,в %@ км,à %@ km,
settings_units_km_capital,Kilometers,Kilometers,Kilometern,Kilometry,Kilômetros,Kilómetros,Kilómetros,Kilometer,Kilometer,Километры,Kilomètres,
settings_units_miles_capital,Miles,Miles,Meilen,Mil,Milhas,Millas,Millas,Mil,Miles,Мили,Miles,
radar_hurricane_annotation_wind_speed,Wind speed,Wind speed,Windgeschwindigkeit,Prędkość wiatru,Velocidade do vento,Velocidad del viento,Velocidad del viento,Kecepatan Angin,Vindhastighet,Скорость ветра,Vitesse du vent,
settings_distance,Distance,Distance,Entfernung,Dystans,Distância,Distancia,Distancia,Jarak,Avstånd,Расстояние,Distance,
settings_wind_speed,Wind speed,Wind speed,Windgeschwindigkeit,Prędkość wiatru,Velocidade do vento,Velocidad del viento,Velocidad del viento,Kecepatan angin,Vindhastighet,Скорость ветра,Vitesse du vent,
app_hurricane_category,Category,Category,Kategorie,Kategoria,Categoria,Categoría,Categoría,Kategori,Kategori,Категория,Catégorie,
alert_hurricane_title,Storm formation nearby!,Storm formation nearby!,In der Nähe entsteht ein Sturm!,W pobliżu formacja burzy!,Formação de tempestade nas proximidades!,¡Formación de tormentas cerca!,¡Formación de tormenta cercana!,Ada formasi badai di sekitar!,Stormbildning i närheten!,Рядом штормовое явление!,Formation de tempête à proximité !,
alert_hurricane_body,Beware. A storm formation has been detected near your location.,Beware. A storm formation has been detected near your location.,"Seien Sie vorsichtig. Es wurde erkannt, dass sich in Ihrer Nähe ein Sturm bildet.",Uwaga! W pobliżu Twojej lokalizacji wykryto formację burzy.,Cuidado. Uma formação de tempestade foi detectada em sua região.,Cuidado. Se detectó una formación de tormenta cerca de su ubicación.,Atención. Se ha detectado una formación de tormenta cerca de su ubicación.,Hati-hati. Formasi badai telah terdeteksi di dekat lokasi Anda.,Var försiktig. En stormbildning har upptäckts nära din plats.,Осторожно. Рядом обнаружено штормовое явление.,Faire attention. Une formation de tempête a été détectée près de votre emplacement.,
alert_hurricane_button,Show on map,Show on map,Auf der Karte zeigen,Pokaż na mapie,Mostrar no mapa,Mostrar en el mapa,Mostrar en el mapa,Tampilkan pada peta,Visa på kartan,Показать на карте,Afficher sur la carte,
app_alert,Alert!,Alert!,Aufgepasst!,Alarm!,Alerta!,¡Alerta!,¡Alerta!,Waspada!,Varning!,Внимание!,Alerte !,
app_active_hurricane_alert,Alert! An active hurricane is detected nearby! Stay safe!,Alert! An active hurricane is detected nearby! Stay safe!,Aufgepasst! In Ihrer Nähe wurde ein aktiver Orkan entdeckt! Passen Sie auf sich auf!,Alarm! W pobliżu wykryto aktywny huragan! Zachowaj bezpieczeństwo!,Alerta! Um furacão ativo foi detectado nas proximidades! Procure um lugar seguro!,¡Alerta! ¡Se detectó un huracán activo en las cercanías! ¡Manténgase a salvo!,¡Alerta! ¡Se detecta un huracán activo cerca! ¡Manténgase a salvo!,,,,,
app_active_storm_alert,Alert! An active storm is detected nearby! Stay safe!,Alert! An active storm is detected nearby! Stay safe!,Aufgepasst! In Ihrer Nähe wurde ein aktiver Sturm entdeckt! Geben Sie auf sich acht!,Alarm! W pobliżu wykryto aktywną burzę! Zachowaj bezpieczeństwo!,Alerta! Uma tempestade ativa foi detectada nas proximidades! Procure um lugar seguro!,¡Alerta! ¡Se detectó una tormenta activa en las cercanías! ¡Manténgase a salvo!,¡Alerta! ¡Se detecta una tormenta activa cerca! ¡Manténgase a salvo!,,,,,
app_active_tropical_depression_alert,Alert! An active tropical depression is detected nearby! Stay safe!,Alert! An active tropical depression is detected nearby! Stay safe!,Aufgepasst! Ein aktives tropisches Tiefdruckgebiet wurde in der Nähe entdeckt! Geben Sie auf sich acht!,Alarm! W pobliżu wykryto aktywną depresję tropikalną! Zachowaj bezpieczeństwo!,Alerta! Uma depressão tropical ativa foi detectada nas proximidades! Procure um lugar seguro!,¡Alerta! ¡Se detectó una depresión tropical activa en las cercanías! ¡Manténgase a salvo!,¡Alerta! ¡Se detecta una depresión tropical activa cerca! ¡Manténgase a salvo!,Waspada! Depresi tropis yang aktif terdeteksi di dekat Anda! Berhati-hatilah!,Varning! Ett aktivt tropiskt lågtryck har upptäckts i närheten! Håll er säkra!,Внимание! Рядом обнаружена активная тропическая депрессия! Будьте осторожны!,Alerte ! Un ouragan intense a été détecté à proximité ! Soyez prudent !,
